timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Austria,Austria,AT,64.48,88.26,92.55,87.84,entsoe.eu,false,
2022-01-01 01:00:00,Austria,Austria,AT,56.39,80.21,93.31,89.43,entsoe.eu,false,
2022-01-01 02:00:00,Austria,Austria,AT,53.39,76.84,93.65,89.94,entsoe.eu,false,
2022-01-01 03:00:00,Austria,Austria,AT,49.51,72.61,94.05,90.56,entsoe.eu,false,
2022-01-01 04:00:00,Austria,Austria,AT,49.74,72.92,94.06,90.57,entsoe.eu,false,
2022-01-01 05:00:00,Austria,Austria,AT,54.36,77.74,93.62,89.66,entsoe.eu,false,
2022-01-01 06:00:00,Austria,Austria,AT,55.65,77.61,93.59,88.63,entsoe.eu,false,
2022-01-01 07:00:00,Austria,Austria,AT,57.22,79.41,93.43,88.46,entsoe.eu,false,
2022-01-01 08:00:00,Austria,Austria,AT,63.17,86.46,92.71,87.47,entsoe.eu,false,
2022-01-01 09:00:00,Austria,Austria,AT,55.76,79.51,93.37,88.88,entsoe.eu,false,
2022-01-01 10:00:00,Austria,Austria,AT,35.9,59.06,95.34,92.81,entsoe.eu,false,
2022-01-01 11:00:00,Austria,Austria,AT,37.21,61.02,95.19,92.72,entsoe.eu,false,
2022-01-01 12:00:00,Austria,Austria,AT,24.76,46.74,96.57,94.87,entsoe.eu,false,
2022-01-01 13:00:00,Austria,Austria,AT,35.77,58.25,95.5,92.76,entsoe.eu,false,
2022-01-01 14:00:00,Austria,Austria,AT,61.58,84.57,93.44,88.81,entsoe.eu,false,
2022-01-01 15:00:00,Austria,Austria,AT,81.78,102.98,92.79,87.33,entsoe.eu,false,
2022-01-01 16:00:00,Austria,Austria,AT,94.42,115.09,91.99,86.06,entsoe.eu,false,
2022-01-01 17:00:00,Austria,Austria,AT,106.41,128.16,91.0,84.59,entsoe.eu,false,
2022-01-01 18:00:00,Austria,Austria,AT,116.11,139.2,89.84,82.93,entsoe.eu,false,
2022-01-01 19:00:00,Austria,Austria,AT,112.14,136.83,89.4,82.22,entsoe.eu,false,
2022-01-01 20:00:00,Austria,Austria,AT,111.35,136.74,88.89,80.87,entsoe.eu,false,
2022-01-01 21:00:00,Austria,Austria,AT,123.38,148.48,88.08,78.97,entsoe.eu,false,
2022-01-01 22:00:00,Austria,Austria,AT,118.35,146.02,87.14,77.01,entsoe.eu,false,
2022-01-01 23:00:00,Austria,Austria,AT,145.58,175.88,84.08,71.24,entsoe.eu,false,
2022-01-02 00:00:00,Austria,Austria,AT,146.07,176.53,83.98,70.98,entsoe.eu,false,
2022-01-02 01:00:00,Austria,Austria,AT,134.25,165.66,84.92,72.66,entsoe.eu,false,
2022-01-02 02:00:00,Austria,Austria,AT,126.26,158.33,85.6,73.83,entsoe.eu,false,
2022-01-02 03:00:00,Austria,Austria,AT,123.48,155.01,85.87,73.72,entsoe.eu,false,
2022-01-02 04:00:00,Austria,Austria,AT,122.84,154.06,86.0,74.23,entsoe.eu,false,
2022-01-02 05:00:00,Austria,Austria,AT,116.54,147.64,86.64,75.72,entsoe.eu,false,
2022-01-02 06:00:00,Austria,Austria,AT,115.93,147.16,86.79,76.77,entsoe.eu,false,
2022-01-02 07:00:00,Austria,Austria,AT,117.45,148.96,86.88,77.95,entsoe.eu,false,
2022-01-02 08:00:00,Austria,Austria,AT,115.14,146.56,87.16,78.21,entsoe.eu,false,
2022-01-02 09:00:00,Austria,Austria,AT,108.09,139.75,87.83,79.66,entsoe.eu,false,
2022-01-02 10:00:00,Austria,Austria,AT,101.44,133.17,88.39,80.56,entsoe.eu,false,
2022-01-02 11:00:00,Austria,Austria,AT,101.52,133.0,88.38,80.67,entsoe.eu,false,
2022-01-02 12:00:00,Austria,Austria,AT,101.87,132.61,88.38,80.42,entsoe.eu,false,
2022-01-02 13:00:00,Austria,Austria,AT,107.78,138.69,87.81,79.46,entsoe.eu,false,
2022-01-02 14:00:00,Austria,Austria,AT,111.7,142.41,87.66,78.96,entsoe.eu,false,
2022-01-02 15:00:00,Austria,Austria,AT,128.25,155.78,88.27,79.84,entsoe.eu,false,
2022-01-02 16:00:00,Austria,Austria,AT,134.08,159.57,88.56,80.4,entsoe.eu,false,
2022-01-02 17:00:00,Austria,Austria,AT,127.29,153.37,88.78,81.01,entsoe.eu,false,
2022-01-02 18:00:00,Austria,Austria,AT,115.27,144.81,87.69,79.54,entsoe.eu,false,
2022-01-02 19:00:00,Austria,Austria,AT,110.87,141.33,87.66,79.6,entsoe.eu,false,
2022-01-02 20:00:00,Austria,Austria,AT,107.17,137.8,87.91,79.78,entsoe.eu,false,
2022-01-02 21:00:00,Austria,Austria,AT,112.93,143.4,87.37,78.78,entsoe.eu,false,
2022-01-02 22:00:00,Austria,Austria,AT,104.25,134.21,88.14,79.95,entsoe.eu,false,
2022-01-02 23:00:00,Austria,Austria,AT,102.43,132.26,88.28,79.98,entsoe.eu,false,
2022-01-03 00:00:00,Austria,Austria,AT,88.25,118.24,89.64,82.95,entsoe.eu,false,
2022-01-03 01:00:00,Austria,Austria,AT,85.71,116.53,89.19,83.21,entsoe.eu,false,
2022-01-03 02:00:00,Austria,Austria,AT,92.32,125.4,86.91,81.16,entsoe.eu,false,
2022-01-03 03:00:00,Austria,Austria,AT,99.91,134.46,85.09,79.62,entsoe.eu,false,
