timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Australia,Australia,AU,357.64,409.56,50.88,50.88,,false,
2022-01-01 01:00:00,Australia,Australia,AU,354.68,406.64,51.32,51.32,,false,
2022-01-01 02:00:00,Australia,Australia,AU,352.75,404.79,51.51,51.51,,false,
2022-01-01 03:00:00,Australia,Australia,AU,351.66,403.82,51.39,51.39,,false,
2022-01-01 04:00:00,Australia,Australia,AU,366.63,418.7,49.42,49.42,,false,
2022-01-01 05:00:00,Australia,Australia,AU,386.92,440.33,46.05,46.05,,false,
2022-01-01 06:00:00,Australia,Australia,AU,409.89,464.69,41.88,41.88,,false,
2022-01-01 07:00:00,Australia,Australia,AU,430.54,486.0,38.35,38.35,,false,
2022-01-01 08:00:00,Australia,Australia,AU,480.75,537.62,30.98,30.98,,false,
2022-01-01 09:00:00,Australia,Australia,AU,514.25,572.33,25.66,25.66,,false,
2022-01-01 10:00:00,Australia,Australia,AU,528.58,587.58,23.26,23.26,,false,
2022-01-01 11:00:00,Australia,Australia,AU,536.15,595.35,22.22,22.22,,false,
2022-01-01 12:00:00,Australia,Australia,AU,547.2,606.39,21.19,21.19,,false,
2022-01-01 13:00:00,Australia,Australia,AU,558.39,616.91,20.42,20.42,,false,
2022-01-01 14:00:00,Australia,Australia,AU,572.76,630.75,19.34,19.34,,false,
2022-01-01 15:00:00,Australia,Australia,AU,586.09,644.14,18.08,18.08,,false,
2022-01-01 16:00:00,Australia,Australia,AU,592.7,650.15,17.81,17.81,,false,
2022-01-01 17:00:00,Australia,Australia,AU,595.86,653.15,17.65,17.65,,false,
2022-01-01 18:00:00,Australia,Australia,AU,595.93,653.12,17.72,17.72,,false,
2022-01-01 19:00:00,Australia,Australia,AU,595.31,652.42,17.97,17.97,,false,
2022-01-01 20:00:00,Australia,Australia,AU,548.2,603.9,24.9,24.9,,false,
2022-01-01 21:00:00,Australia,Australia,AU,479.7,534.45,34.52,34.52,,false,
2022-01-01 22:00:00,Australia,Australia,AU,415.94,469.25,43.34,43.34,,false,
2022-01-01 23:00:00,Australia,Australia,AU,370.82,423.25,49.48,49.48,,false,
