timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Canada,Canada,CA,96.5,138.07,79.92,66.98,,false,
2022-01-01 01:00:00,Canada,Canada,CA,96.43,137.6,80.13,66.75,,false,
2022-01-01 02:00:00,Canada,Canada,CA,98.07,139.1,80.01,66.2,,false,
2022-01-01 03:00:00,Canada,Canada,CA,98.83,139.75,79.95,65.63,,false,
2022-01-01 04:00:00,Canada,Canada,CA,97.9,138.29,80.44,66.01,,false,
2022-01-01 05:00:00,Canada,Canada,CA,97.92,138.49,80.37,65.94,,false,
2022-01-01 06:00:00,Canada,Canada,CA,98.41,138.77,80.54,66.07,,false,
2022-01-01 07:00:00,Canada,Canada,CA,99.97,140.39,80.26,65.38,,false,
2022-01-01 08:00:00,Canada,Canada,CA,102.75,143.41,79.66,64.08,,false,
2022-01-01 09:00:00,Canada,Canada,CA,102.61,142.94,79.77,63.75,,false,
2022-01-01 10:00:00,Canada,Canada,CA,103.54,144.17,79.54,63.93,,false,
2022-01-01 11:00:00,Canada,Canada,CA,101.91,142.24,79.79,64.31,,false,
2022-01-01 12:00:00,Canada,Canada,CA,98.68,138.69,80.25,65.11,,false,
2022-01-01 13:00:00,Canada,Canada,CA,96.74,136.39,80.58,65.48,,false,
2022-01-01 14:00:00,Canada,Canada,CA,95.54,135.21,80.74,66.07,,false,
2022-01-01 15:00:00,Canada,Canada,CA,94.98,134.63,80.76,66.58,,false,
2022-01-01 16:00:00,Canada,Canada,CA,93.36,132.94,81.05,67.24,,false,
2022-01-01 17:00:00,Canada,Canada,CA,92.32,131.76,81.22,67.56,,false,
2022-01-01 18:00:00,Canada,Canada,CA,93.07,132.59,81.09,67.42,,false,
2022-01-01 19:00:00,Canada,Canada,CA,93.56,133.31,80.94,67.3,,false,
2022-01-01 20:00:00,Canada,Canada,CA,92.97,132.72,81.02,67.39,,false,
2022-01-01 21:00:00,Canada,Canada,CA,92.71,132.6,81.01,67.61,,false,
2022-01-01 22:00:00,Canada,Canada,CA,90.28,129.78,81.49,68.46,,false,
2022-01-01 23:00:00,Canada,Canada,CA,91.39,131.06,81.17,68.06,,false,
2022-01-02 00:00:00,Canada,Canada,CA,92.76,132.74,80.82,67.56,,false,
2022-01-02 01:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 02:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 03:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 04:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 05:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 06:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 07:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 08:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 09:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 10:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 11:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 12:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 13:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 14:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 15:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 16:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 17:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 18:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 19:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 20:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 21:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 22:00:00,Canada,Canada,CA,,,,,,,
2022-01-02 23:00:00,Canada,Canada,CA,,,,,,,
2022-01-03 00:00:00,Canada,Canada,CA,,,,,,,
2022-01-03 01:00:00,Canada,Canada,CA,93.17,134.71,79.99,68.46,,false,
2022-01-03 02:00:00,Canada,Canada,CA,94.06,135.58,79.95,68.34,,false,
2022-01-03 03:00:00,Canada,Canada,CA,94.64,136.34,79.79,67.95,,false,
2022-01-03 04:00:00,Canada,Canada,CA,95.87,137.6,79.67,67.39,,false,
2022-01-03 05:00:00,Canada,Canada,CA,96.57,138.47,79.54,66.85,,false,
2022-01-03 06:00:00,Canada,Canada,CA,94.45,135.82,80.08,67.1,,false,
2022-01-03 07:00:00,Canada,Canada,CA,95.33,136.72,80.01,66.96,,false,
