timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,France,France,FR,25.11,44.03,94.25,25.28,opendata.reseaux-energies.fr,false,
2022-01-01 01:00:00,France,France,FR,26.75,46.24,93.87,24.24,opendata.reseaux-energies.fr,false,
2022-01-01 02:00:00,France,France,FR,26.32,46.19,93.72,23.13,opendata.reseaux-energies.fr,false,
2022-01-01 03:00:00,France,France,FR,24.98,44.85,93.79,23.11,opendata.reseaux-energies.fr,false,
2022-01-01 04:00:00,France,France,FR,24.71,44.43,93.86,23.38,opendata.reseaux-energies.fr,false,
2022-01-01 05:00:00,France,France,FR,24.41,43.91,93.96,23.51,opendata.reseaux-energies.fr,false,
2022-01-01 06:00:00,France,France,FR,24.11,43.43,94.02,23.87,opendata.reseaux-energies.fr,false,
2022-01-01 07:00:00,France,France,FR,22.92,41.65,94.33,23.93,opendata.reseaux-energies.fr,false,
2022-01-01 08:00:00,France,France,FR,21.9,40.4,94.56,25.09,opendata.reseaux-energies.fr,false,
2022-01-01 09:00:00,France,France,FR,20.11,38.54,94.95,27.07,opendata.reseaux-energies.fr,false,
2022-01-01 10:00:00,France,France,FR,19.11,37.59,95.18,28.5,opendata.reseaux-energies.fr,false,
2022-01-01 11:00:00,France,France,FR,19.04,37.65,95.21,28.85,opendata.reseaux-energies.fr,false,
2022-01-01 12:00:00,France,France,FR,19.29,38.01,95.15,28.34,opendata.reseaux-energies.fr,false,
2022-01-01 13:00:00,France,France,FR,18.41,36.55,95.37,26.66,opendata.reseaux-energies.fr,false,
2022-01-01 14:00:00,France,France,FR,19.13,37.06,95.26,24.75,opendata.reseaux-energies.fr,false,
2022-01-01 15:00:00,France,France,FR,20.08,37.57,95.14,23.66,opendata.reseaux-energies.fr,false,
2022-01-01 16:00:00,France,France,FR,20.5,37.4,95.27,24.69,opendata.reseaux-energies.fr,false,
2022-01-01 17:00:00,France,France,FR,20.65,37.42,95.41,27.34,opendata.reseaux-energies.fr,false,
2022-01-01 18:00:00,France,France,FR,21.16,38.1,95.32,28.21,opendata.reseaux-energies.fr,false,
2022-01-01 19:00:00,France,France,FR,20.97,38.08,95.22,27.65,opendata.reseaux-energies.fr,false,
2022-01-01 20:00:00,France,France,FR,20.51,37.77,95.07,26.36,opendata.reseaux-energies.fr,false,
2022-01-01 21:00:00,France,France,FR,21.74,39.49,94.69,25.53,opendata.reseaux-energies.fr,false,
2022-01-01 22:00:00,France,France,FR,22.31,40.31,94.57,25.88,opendata.reseaux-energies.fr,false,
2022-01-01 23:00:00,France,France,FR,23.03,41.62,94.28,25.42,opendata.reseaux-energies.fr,false,
2022-01-02 00:00:00,France,France,FR,24.12,43.04,94.03,25.26,opendata.reseaux-energies.fr,false,
2022-01-02 01:00:00,France,France,FR,23.8,42.67,94.06,25.07,opendata.reseaux-energies.fr,false,
2022-01-02 02:00:00,France,France,FR,24.3,43.4,93.94,25.75,opendata.reseaux-energies.fr,false,
2022-01-02 03:00:00,France,France,FR,24.38,43.68,93.91,26.96,opendata.reseaux-energies.fr,false,
2022-01-02 04:00:00,France,France,FR,24.05,43.3,93.99,27.92,opendata.reseaux-energies.fr,false,
2022-01-02 05:00:00,France,France,FR,23.54,42.64,94.12,29.49,opendata.reseaux-energies.fr,false,
2022-01-02 06:00:00,France,France,FR,23.08,42.07,94.24,30.63,opendata.reseaux-energies.fr,false,
2022-01-02 07:00:00,France,France,FR,21.64,40.14,94.62,30.86,opendata.reseaux-energies.fr,false,
2022-01-02 08:00:00,France,France,FR,20.63,38.84,94.85,31.43,opendata.reseaux-energies.fr,false,
2022-01-02 09:00:00,France,France,FR,19.77,37.73,95.07,32.0,opendata.reseaux-energies.fr,false,
2022-01-02 10:00:00,France,France,FR,18.69,36.46,95.32,32.26,opendata.reseaux-energies.fr,false,
2022-01-02 11:00:00,France,France,FR,18.58,36.4,95.39,32.74,opendata.reseaux-energies.fr,false,
2022-01-02 12:00:00,France,France,FR,17.83,35.45,95.56,33.52,opendata.reseaux-energies.fr,false,
2022-01-02 13:00:00,France,France,FR,18.14,35.79,95.49,33.48,opendata.reseaux-energies.fr,false,
2022-01-02 14:00:00,France,France,FR,17.87,35.15,95.54,32.34,opendata.reseaux-energies.fr,false,
2022-01-02 15:00:00,France,France,FR,17.46,34.27,95.63,32.04,opendata.reseaux-energies.fr,false,
2022-01-02 16:00:00,France,France,FR,16.99,33.38,95.73,32.11,opendata.reseaux-energies.fr,false,
2022-01-02 17:00:00,France,France,FR,17.46,33.74,95.81,33.14,opendata.reseaux-energies.fr,false,
2022-01-02 18:00:00,France,France,FR,17.87,34.07,95.85,33.93,opendata.reseaux-energies.fr,false,
2022-01-02 19:00:00,France,France,FR,17.54,33.97,95.69,33.06,opendata.reseaux-energies.fr,false,
2022-01-02 20:00:00,France,France,FR,17.78,34.45,95.57,32.72,opendata.reseaux-energies.fr,false,
2022-01-02 21:00:00,France,France,FR,18.56,35.63,95.4,32.7,opendata.reseaux-energies.fr,false,
2022-01-02 22:00:00,France,France,FR,19.53,37.21,95.13,32.54,opendata.reseaux-energies.fr,false,
2022-01-02 23:00:00,France,France,FR,19.82,37.7,95.04,32.34,opendata.reseaux-energies.fr,false,
2022-01-03 00:00:00,France,France,FR,20.43,38.69,94.88,32.98,opendata.reseaux-energies.fr,false,
2022-01-03 01:00:00,France,France,FR,20.74,39.12,94.8,32.64,opendata.reseaux-energies.fr,false,
2022-01-03 02:00:00,France,France,FR,21.12,39.68,94.71,32.09,opendata.reseaux-energies.fr,false,
2022-01-03 03:00:00,France,France,FR,21.52,40.15,94.63,31.34,opendata.reseaux-energies.fr,false,
2022-01-03 04:00:00,France,France,FR,22.08,40.65,94.52,30.71,opendata.reseaux-energies.fr,false,
2022-01-03 05:00:00,France,France,FR,23.14,41.99,94.32,30.9,opendata.reseaux-energies.fr,false,
2022-01-03 06:00:00,France,France,FR,23.69,42.05,94.32,29.71,opendata.reseaux-energies.fr,false,
2022-01-03 07:00:00,France,France,FR,25.35,43.64,94.21,30.15,opendata.reseaux-energies.fr,false,
2022-01-03 08:00:00,France,France,FR,27.45,46.13,93.83,30.74,opendata.reseaux-energies.fr,false,
2022-01-03 09:00:00,France,France,FR,26.22,45.11,93.86,31.02,opendata.reseaux-energies.fr,false,
2022-01-03 10:00:00,France,France,FR,24.26,42.99,94.19,31.54,opendata.reseaux-energies.fr,false,
2022-01-03 11:00:00,France,France,FR,24.14,42.86,94.34,32.33,opendata.reseaux-energies.fr,false,
2022-01-03 12:00:00,France,France,FR,22.79,41.14,94.69,32.73,opendata.reseaux-energies.fr,false,
2022-01-03 13:00:00,France,France,FR,22.58,40.82,94.65,31.72,opendata.reseaux-energies.fr,false,
2022-01-03 14:00:00,France,France,FR,23.28,41.52,94.43,30.26,opendata.reseaux-energies.fr,false,
