timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,USA,USA,US,335.69,395.09,46.01,25.74,,false,
2022-01-01 01:00:00,USA,USA,US,332.88,391.97,46.43,25.85,,false,
2022-01-01 02:00:00,USA,USA,US,336.76,395.59,46.31,25.14,,false,
2022-01-01 03:00:00,USA,USA,US,337.03,395.08,46.79,24.96,,false,
2022-01-01 04:00:00,USA,USA,US,337.4,394.73,47.18,24.65,,false,
2022-01-01 05:00:00,USA,USA,US,336.4,392.9,47.77,24.42,,false,
2022-01-01 06:00:00,USA,USA,US,331.27,386.59,48.96,24.8,,false,
2022-01-01 07:00:00,USA,USA,US,326.58,381.13,49.82,25.2,,false,
2022-01-01 08:00:00,USA,USA,US,320.19,373.45,51.18,26.21,,false,
2022-01-01 09:00:00,USA,USA,US,314.07,366.48,52.2,26.99,,false,
2022-01-01 10:00:00,USA,USA,US,309.7,361.8,52.73,27.33,,false,
2022-01-01 11:00:00,USA,USA,US,313.89,366.57,52.07,26.93,,false,
2022-01-01 12:00:00,USA,USA,US,314.9,367.83,51.86,27.06,,false,
2022-01-01 13:00:00,USA,USA,US,317.14,370.6,51.42,27.24,,false,
2022-01-01 14:00:00,USA,USA,US,314.85,368.71,51.45,28.04,,false,
2022-01-01 15:00:00,USA,USA,US,313.53,368.02,51.27,28.74,,false,
2022-01-01 16:00:00,USA,USA,US,310.28,364.4,51.84,30.02,,false,
2022-01-01 17:00:00,USA,USA,US,314.47,368.74,51.51,30.09,,false,
2022-01-01 18:00:00,USA,USA,US,317.45,371.91,51.16,29.88,,false,
2022-01-01 19:00:00,USA,USA,US,317.1,371.58,51.17,29.82,,false,
2022-01-01 20:00:00,USA,USA,US,319.23,374.1,50.72,29.41,,false,
2022-01-01 21:00:00,USA,USA,US,320.91,376.4,50.17,28.95,,false,
2022-01-01 22:00:00,USA,USA,US,323.1,379.62,49.33,28.56,,false,
2022-01-01 23:00:00,USA,USA,US,328.63,386.75,47.91,27.4,,false,
2022-01-02 00:00:00,USA,USA,US,332.35,390.87,47.28,26.85,,false,
2022-01-02 01:00:00,USA,USA,US,,,,,,,
2022-01-02 02:00:00,USA,USA,US,,,,,,,
2022-01-02 03:00:00,USA,USA,US,,,,,,,
2022-01-02 04:00:00,USA,USA,US,,,,,,,
2022-01-02 05:00:00,USA,USA,US,,,,,,,
2022-01-02 06:00:00,USA,USA,US,,,,,,,
2022-01-02 07:00:00,USA,USA,US,,,,,,,
2022-01-02 08:00:00,USA,USA,US,,,,,,,
2022-01-02 09:00:00,USA,USA,US,,,,,,,
2022-01-02 10:00:00,USA,USA,US,,,,,,,
2022-01-02 11:00:00,USA,USA,US,,,,,,,
2022-01-02 12:00:00,USA,USA,US,,,,,,,
2022-01-02 13:00:00,USA,USA,US,,,,,,,
2022-01-02 14:00:00,USA,USA,US,,,,,,,
2022-01-02 15:00:00,USA,USA,US,,,,,,,
2022-01-02 16:00:00,USA,USA,US,,,,,,,
2022-01-02 17:00:00,USA,USA,US,,,,,,,
2022-01-02 18:00:00,USA,USA,US,,,,,,,
2022-01-02 19:00:00,USA,USA,US,,,,,,,
2022-01-02 20:00:00,USA,USA,US,,,,,,,
2022-01-02 21:00:00,USA,USA,US,,,,,,,
2022-01-02 22:00:00,USA,USA,US,,,,,,,
2022-01-02 23:00:00,USA,USA,US,,,,,,,
2022-01-03 00:00:00,USA,USA,US,,,,,,,
2022-01-03 01:00:00,USA,USA,US,388.05,456.2,36.76,17.01,,false,
2022-01-03 02:00:00,USA,USA,US,383.09,450.41,37.65,17.56,,false,
2022-01-03 03:00:00,USA,USA,US,376.85,443.28,38.62,18.02,,false,
2022-01-03 04:00:00,USA,USA,US,369.97,435.38,39.76,18.48,,false,
2022-01-03 05:00:00,USA,USA,US,368.6,433.62,40.12,18.35,,false,
2022-01-03 06:00:00,USA,USA,US,369.03,433.96,40.18,17.98,,false,
2022-01-03 07:00:00,USA,USA,US,370.0,435.08,40.08,17.57,,false,
2022-01-03 08:00:00,USA,USA,US,372.85,438.27,39.67,17.03,,false,
2022-01-03 09:00:00,USA,USA,US,375.52,441.53,39.1,16.6,,false,
2022-01-03 10:00:00,USA,USA,US,378.15,445.42,38.09,16.19,,false,
2022-01-03 11:00:00,USA,USA,US,378.57,447.07,37.32,16.42,,false,
2022-01-03 12:00:00,USA,USA,US,381.67,451.2,36.51,16.71,,false,
2022-01-03 13:00:00,USA,USA,US,386.94,457.15,35.73,16.76,,false,
2022-01-03 14:00:00,USA,USA,US,385.55,455.23,36.22,17.64,,false,
2022-01-03 15:00:00,USA,USA,US,379.92,448.85,37.33,18.76,,false,
2022-01-03 16:00:00,USA,USA,US,380.01,448.19,38.07,19.32,,false,
2022-01-03 17:00:00,USA,USA,US,379.12,446.04,39.1,20.06,,false,
2022-01-03 18:00:00,USA,USA,US,375.37,441.44,39.98,20.74,,false,
2022-01-03 19:00:00,USA,USA,US,365.14,430.15,41.49,21.94,,false,
2022-01-03 20:00:00,USA,USA,US,356.44,420.68,42.54,22.78,,false,
2022-01-03 21:00:00,USA,USA,US,352.79,416.98,42.7,23.04,,false,
2022-01-03 22:00:00,USA,USA,US,354.78,419.83,41.83,22.73,,false,
2022-01-03 23:00:00,USA,USA,US,360.07,425.92,40.77,22.33,,false,
2022-01-04 00:00:00,USA,USA,US,358.59,424.39,40.91,22.83,,false,
2022-01-04 01:00:00,USA,USA,US,353.52,418.42,41.89,23.87,,false,
2022-01-04 02:00:00,USA,USA,US,350.0,414.11,42.69,24.39,,false,
2022-01-04 03:00:00,USA,USA,US,344.57,407.71,43.78,24.89,,false,
2022-01-04 04:00:00,USA,USA,US,339.3,401.79,44.59,25.01,,false,
2022-01-04 05:00:00,USA,USA,US,335.72,397.43,45.16,24.88,,false,
2022-01-04 06:00:00,USA,USA,US,333.35,394.36,45.87,25.11,,false,
2022-01-04 07:00:00,USA,USA,US,332.67,393.63,45.93,24.89,,false,
2022-01-04 08:00:00,USA,USA,US,335.17,396.33,45.62,24.47,,false,
2022-01-04 09:00:00,USA,USA,US,337.72,399.21,45.17,24.2,,false,
2022-01-04 10:00:00,USA,USA,US,338.46,400.75,44.58,24.22,,false,
2022-01-04 11:00:00,USA,USA,US,341.63,405.42,43.32,24.03,,false,
2022-01-04 12:00:00,USA,USA,US,345.84,410.57,42.43,24.13,,false,
2022-01-04 13:00:00,USA,USA,US,346.81,411.29,42.56,24.7,,false,
2022-01-04 14:00:00,USA,USA,US,342.24,405.72,43.7,25.64,,false,
2022-01-04 15:00:00,USA,USA,US,339.08,401.66,44.71,26.27,,false,
2022-01-04 16:00:00,USA,USA,US,332.92,393.96,46.3,27.43,,false,
2022-01-04 17:00:00,USA,USA,US,326.34,385.97,47.8,28.55,,false,
2022-01-04 18:00:00,USA,USA,US,323.02,381.84,48.59,28.94,,false,
2022-01-04 19:00:00,USA,USA,US,320.97,379.52,48.88,28.89,,false,
2022-01-04 20:00:00,USA,USA,US,322.85,382.06,48.29,28.2,,false,
2022-01-04 21:00:00,USA,USA,US,328.43,388.61,47.12,27.02,,false,
2022-01-04 22:00:00,USA,USA,US,338.05,399.65,45.41,25.95,,false,
2022-01-04 23:00:00,USA,USA,US,351.96,415.08,43.16,24.32,,false,
2022-01-05 00:00:00,USA,USA,US,,,,,,,
2022-01-05 01:00:00,USA,USA,US,,,,,,,
2022-01-05 02:00:00,USA,USA,US,,,,,,,
2022-01-05 03:00:00,USA,USA,US,,,,,,,
2022-01-05 04:00:00,USA,USA,US,,,,,,,
2022-01-05 05:00:00,USA,USA,US,,,,,,,
2022-01-05 06:00:00,USA,USA,US,,,,,,,
2022-01-05 07:00:00,USA,USA,US,,,,,,,
2022-01-05 08:00:00,USA,USA,US,,,,,,,
2022-01-05 09:00:00,USA,USA,US,,,,,,,
2022-01-05 10:00:00,USA,USA,US,,,,,,,
2022-01-05 11:00:00,USA,USA,US,,,,,,,
2022-01-05 12:00:00,USA,USA,US,,,,,,,
2022-01-05 13:00:00,USA,USA,US,,,,,,,
2022-01-05 14:00:00,USA,USA,US,,,,,,,
2022-01-05 15:00:00,USA,USA,US,,,,,,,
2022-01-05 16:00:00,USA,USA,US,,,,,,,
2022-01-05 17:00:00,USA,USA,US,,,,,,,
2022-01-05 18:00:00,USA,USA,US,,,,,,,
2022-01-05 19:00:00,USA,USA,US,,,,,,,
2022-01-05 20:00:00,USA,USA,US,,,,,,,
2022-01-05 21:00:00,USA,USA,US,,,,,,,
2022-01-05 22:00:00,USA,USA,US,,,,,,,
